ID_Tiempo,Año,Trimestre,Mes,Día
1,2024,Qtr 4,octubre,9
2,2025,Qtr 2,mayo,9
3,2025,Qtr 1,febrero,27
4,2024,Qtr 2,junio,5
5,2024,Qtr 3,julio,21
6,2025,Qtr 1,enero,7
7,2024,Qtr 3,septiembre,7
8,2024,Qtr 3,julio,6
9,2024,Qtr 2,junio,7
10,2025,Qtr 2,abril,15
11,2025,Qtr 1,marzo,12
12,2025,Qtr 1,febrero,9
13,2024,Qtr 4,octubre,11
14,2024,Qtr 4,diciembre,16
15,2025,Qtr 1,marzo,17
16,2025,Qtr 1,marzo,27
17,2024,Qtr 4,diciembre,7
18,2024,Qtr 3,septiembre,11
19,2025,Qtr 2,abril,20
20,2025,Qtr 2,abril,12
21,2024,Qtr 4,noviembre,2
22,2025,Qtr 2,abril,11
23,2024,Qtr 3,julio,24
24,2025,Qtr 2,abril,25
25,2024,Qtr 3,agosto,30
26,2024,Qtr 3,septiembre,25
27,2025,Qtr 1,febrero,14
28,2025,Qtr 2,abril,13
29,2024,Qtr 4,noviembre,9
30,2024,Qtr 3,agosto,1
31,2024,Qtr 4,noviembre,29
32,2024,Qtr 3,septiembre,9
33,2024,Qtr 3,septiembre,24
34,2025,Qtr 1,marzo,14
35,2025,Qtr 2,abril,6
36,2024,Qtr 4,noviembre,24
37,2025,Qtr 1,marzo,3
38,2025,Qtr 1,enero,6
39,2024,Qtr 4,octubre,2
40,2025,Qtr 1,enero,13
41,2024,Qtr 2,mayo,31
42,2024,Qtr 3,septiembre,8
43,2024,Qtr 4,diciembre,21
44,2024,Qtr 3,septiembre,23
45,2024,Qtr 4,noviembre,8
46,2024,Qtr 4,octubre,17
47,2024,Qtr 3,julio,1
48,2025,Qtr 2,mayo,2
49,2024,Qtr 3,julio,28
50,2025,Qtr 1,enero,15
51,2025,Qtr 2,mayo,14
52,2025,Qtr 1,enero,30
53,2024,Qtr 2,mayo,26
54,2024,Qtr 4,diciembre,2
55,2024,Qtr 4,noviembre,17
56,2024,Qtr 3,julio,17
57,2025,Qtr 1,marzo,7
58,2024,Qtr 4,octubre,12
59,2024,Qtr 3,septiembre,6
60,2024,Qtr 4,noviembre,18
61,2024,Qtr 4,noviembre,11
62,2024,Qtr 4,octubre,6
63,2024,Qtr 4,noviembre,4
64,2024,Qtr 4,noviembre,19
65,2024,Qtr 3,agosto,6
66,2024,Qtr 2,mayo,29
67,2025,Qtr 1,enero,29
68,2024,Qtr 4,noviembre,20
69,2025,Qtr 2,abril,2
70,2024,Qtr 4,noviembre,5
71,2024,Qtr 3,julio,15
72,2024,Qtr 2,junio,20
73,2024,Qtr 4,diciembre,14
74,2024,Qtr 3,agosto,19
75,2024,Qtr 4,noviembre,22
76,2024,Qtr 4,octubre,1
77,2024,Qtr 4,diciembre,8
78,2025,Qtr 2,abril,24
79,2024,Qtr 3,agosto,13
80,2025,Qtr 1,marzo,5
81,2024,Qtr 4,diciembre,20
82,2024,Qtr 4,octubre,24
83,2024,Qtr 2,junio,14
84,2025,Qtr 1,enero,20
85,2024,Qtr 3,agosto,25
86,2025,Qtr 1,febrero,4
87,2024,Qtr 4,diciembre,28
88,2024,Qtr 4,octubre,30
89,2024,Qtr 3,agosto,9
90,2024,Qtr 2,junio,4
91,2024,Qtr 2,junio,27
92,2024,Qtr 3,agosto,29
93,2024,Qtr 2,junio,2
94,2024,Qtr 4,noviembre,6
95,2025,Qtr 1,marzo,21
96,2024,Qtr 3,julio,8
97,2025,Qtr 1,febrero,18
98,2025,Qtr 1,enero,31
99,2025,Qtr 1,febrero,13
100,2024,Qtr 3,septiembre,13
101,2024,Qtr 2,junio,25
102,2024,Qtr 4,octubre,21
103,2024,Qtr 3,agosto,7
104,2024,Qtr 4,diciembre,18
105,2025,Qtr 2,abril,26
106,2024,Qtr 2,junio,18
107,2025,Qtr 1,enero,10
108,2025,Qtr 1,marzo,15
109,2024,Qtr 4,diciembre,11
110,2025,Qtr 1,marzo,16
111,2024,Qtr 4,diciembre,25
112,2024,Qtr 2,mayo,20
113,2025,Qtr 1,febrero,16
114,2025,Qtr 1,marzo,1
115,2024,Qtr 4,diciembre,5
