Suma de ID_Venta,Suma de ID_Detalle,ID_Producto,ID_Cliente,ID_Vendedor,ID_Sucursal,ID_Pago,ID_Tiempo,Cantidad_Vendida,Total_Ventas,Suma de Precio_Unitario,Suma de Subtotal
2,18233,7,663,37,10,1,291,18,2237.85,118.08,2125.44
4,9480,10,532,99,5,1,39,100,363.62,298.19,29819
4,2644,13,532,99,5,1,39,2,363.62,41.86,83.72
5,207,11,334,20,4,1,356,95,1758.06,144.89,13764.55
6,9719,16,982,33,7,2,344,15,1227.02,248.44,3726.6
9,3575,16,140,89,9,3,309,11,3779.09,10.13,111.43
11,1347,18,554,80,1,1,104,44,2971.33,207.53,9131.32
12,5206,8,345,8,7,1,282,31,3726.06,252.21,7818.51
14,9396,17,169,22,9,1,230,21,4698.86,112.26,2357.46
17,19111,27,822,98,2,2,79,32,195.43,187.86,6011.52
18,17530,21,921,49,6,1,213,2,757.95,43.75,87.5
20,13259,27,678,30,8,2,264,48,4406.87,18.79,901.92
21,2425,2,900,4,12,3,125,45,3403.31,463.35,20850.75
21,13294,7,900,4,12,3,125,61,3403.31,266.04,16228.44
21,2598,14,900,4,12,3,125,91,3403.31,411.62,37457.42
21,7486,27,900,4,12,3,125,4,3403.31,461.31,1845.24
22,5181,17,186,4,12,2,243,40,2385.13,468.44,18737.6
23,1896,2,944,11,12,2,154,45,2624.04,302.91,13630.95
23,6967,17,944,11,12,2,154,30,2624.04,262.3,7869
24,3744,7,847,2,10,2,328,3,3295.08,105.75,317.25
25,15100,12,560,85,6,1,139,45,3874.04,91.59,4121.55
26,14811,8,578,98,9,1,269,13,3773.33,473.41,6154.33
27,15279,7,915,55,2,3,276,23,3105.41,328.7,7560.1
28,1224,27,604,40,12,1,244,23,4352.96,186.25,4283.75
30,2616,4,468,75,7,1,286,27,1952.72,188.15,5080.05
34,18230,3,26,27,4,1,230,18,3430.21,213.11,3835.98
35,13587,21,114,29,7,1,128,27,2311.96,155.12,4188.24
36,2501,22,658,15,4,3,84,8,1064.06,357.42,2859.36
37,18729,14,382,7,11,3,161,36,1648.38,213.89,7700.04
37,2197,17,382,7,11,3,161,96,1648.38,392.22,37653.12
38,18196,11,8,31,12,1,140,13,305.26,432.48,5622.24
40,17550,2,10,52,10,2,225,44,1981.66,344.61,15162.84
41,1622,14,27,17,4,2,132,77,3827.19,437.52,33689.04
41,8250,18,27,17,4,2,132,25,3827.19,78.31,1957.75
42,7672,3,839,88,1,1,292,3,3869.22,36.64,109.92
42,19155,10,839,88,1,1,292,8,3869.22,74.01,592.08
42,1382,20,839,88,1,1,292,13,3869.22,127.29,1654.77
43,13611,15,693,48,3,2,88,79,2373.5,203.92,16109.68
45,3414,2,703,70,2,1,276,95,3843.87,312.31,29669.45
45,7706,8,703,70,2,1,276,48,3843.87,314.69,15105.12
47,2510,5,760,73,1,1,213,1,1522.73,204.7,204.7
48,15927,17,771,58,9,2,199,40,2687.87,282.69,11307.6
48,9947,29,771,58,9,2,199,35,2687.87,26.98,944.3
52,4512,4,61,52,11,2,200,62,2458.36,478.31,29655.22
52,17907,9,61,52,11,2,200,38,2458.36,195.85,7442.3
53,16962,1,565,36,1,1,60,52,2556.83,57.35,2982.2
56,2452,4,65,86,9,3,303,45,4200.6,192.07,8643.15
56,18680,17,65,86,9,3,303,22,4200.6,329.02,7238.44
57,10376,19,374,89,10,3,287,80,3901.44,149.97,11997.6
58,17050,6,810,38,6,3,297,22,2055.2,119.02,2618.44
59,15011,1,662,3,12,2,308,12,188.68,212.8,2553.6
59,1164,8,662,3,12,2,308,41,188.68,470.3,19282.3
59,15629,29,662,3,12,2,308,41,188.68,28.46,1166.86
60,12572,3,850,62,6,3,146,50,823.82,331.4,16570
60,18090,21,850,62,6,3,146,54,823.82,77.78,4200.12
61,14334,17,344,67,1,1,139,94,4960.04,352.1,33097.4
62,14623,28,302,76,12,2,279,88,2622.93,160.04,14083.52
63,11599,30,169,64,9,2,32,51,476.16,70.73,3607.23
64,14229,2,176,2,11,2,177,40,2784.48,248.23,9929.2
64,3934,9,176,2,11,2,177,10,2784.48,112.08,1120.8
65,4450,20,112,34,11,1,333,59,3856.42,214.42,12650.78
65,13508,22,112,34,11,1,333,89,3856.42,375.52,33421.28
65,19961,27,112,34,11,1,333,76,3856.42,184.12,13993.12
69,19146,8,142,81,11,2,104,93,638.94,465.77,43316.61
69,18017,13,142,81,11,2,104,32,638.94,17.19,550.08
71,18389,5,913,37,8,2,141,31,1264.95,183.07,5675.17
71,12398,9,913,37,8,2,141,35,1264.95,292.85,10249.75
71,12231,10,913,37,8,2,141,39,1264.95,215.2,8392.8
72,15171,7,494,90,2,1,72,29,2115.3,373.04,10818.16
72,1873,10,494,90,2,1,72,15,2115.3,304,4560
72,1150,21,494,90,2,1,72,39,2115.3,322.31,12570.09
72,5464,30,494,90,2,1,72,72,2115.3,180.28,12980.16
73,16669,16,586,93,11,2,76,51,1644.57,399.16,20357.16
74,6035,5,63,100,10,3,105,61,3151.24,378.06,23061.66
75,15860,8,373,72,4,1,216,90,1251.25,195.87,17628.3
75,6469,28,373,72,4,1,216,63,1251.25,393.26,24775.38
76,2958,8,97,83,8,2,103,48,1554.55,408.92,19628.16
77,6334,21,339,40,6,3,106,94,4971.39,371.36,34907.84
77,6268,28,339,40,6,3,106,70,4971.39,385.15,26960.5
78,6284,24,200,31,3,1,224,54,4769.92,257.15,13886.1
79,9849,26,197,71,8,3,65,34,2497.44,317.3,10788.2
80,13736,16,64,70,6,1,110,43,1831.68,63.3,2721.9
82,5949,23,878,89,10,1,85,91,1736.92,162.82,14816.62
85,12894,13,203,32,8,3,100,39,2714.82,298.02,11622.78
85,17358,27,203,32,8,3,100,7,2714.82,123.77,866.39
86,14299,12,404,84,9,3,178,12,4023.68,460.59,5527.08
87,9795,21,689,22,1,1,222,16,4613.46,187.59,3001.44
90,19603,5,511,53,6,2,4,31,2177.57,278.32,8627.92
91,6901,7,413,20,5,3,339,58,4628.29,207.86,12055.88
91,19518,30,413,20,5,3,339,95,4628.29,57.46,5458.7
93,7485,12,918,77,3,2,351,35,1773.75,205.49,7192.15
93,7530,18,918,77,3,2,351,83,1773.75,400.37,33230.71
93,18620,24,918,77,3,2,351,32,1773.75,53.61,1715.52
95,11888,30,3,14,9,3,288,27,1457.41,87.16,2353.32
96,16853,6,581,72,3,1,24,61,967.5,213.29,13010.69
96,2147,9,581,72,3,1,24,61,967.5,262.49,16011.89
97,15328,9,64,69,6,3,256,33,1627.34,71.74,2367.42
97,2603,12,64,69,6,3,256,64,1627.34,319.24,20431.36
99,13616,5,667,85,3,1,293,34,3227.13,332.92,11319.28
99,12803,9,667,85,3,1,293,88,3227.13,207.86,18291.68
100,4250,19,378,61,10,3,63,24,4473.32,20.15,483.6
100,3841,30,378,61,10,3,63,84,4473.32,229.05,19240.2
101,3880,2,439,46,12,2,54,49,3894.46,63.92,3132.08
101,5733,22,439,46,12,2,54,30,3894.46,234.03,7020.9
102,14762,5,53,27,9,3,150,34,4153.71,219.02,7446.68
